label,streams,chunks,completed,chunk_p50_us,chunk_p99_us,chunk_p999_us,chunk_max_us,ttft_p50_ms,ttft_p99_ms,gap_p50_ms,gap_p99_ms
direct,16,15849,256,51,100,200,276,30.800,40.600,20.000,21.024
llmbridge,16,15849,256,107,161,227,287,30.600,40.400,20.016,21.010
litellm,16,14946,243,1443,191122,254042,269025,80.700,126.800,19.994,36.103
direct,64,63386,1024,53,108,193,314,30.700,40.700,19.988,21.050
llmbridge,64,63376,1024,108,187,244,315,30.900,40.900,20.007,21.030
litellm,64,25054,405,171175,511139,711609,838153,1985.800,2261.800,0.001,211.895
direct,256,253519,4096,53,147,253,438,30.800,40.700,19.991,21.057
llmbridge,256,253363,4096,139,237,319,449,30.700,40.700,20.028,21.032
litellm,256,25049,397,601775,9102287,9102287,9102287,9458.600,11190.100,0.001,236.975
direct,512,506937,8192,53,229,381,578,30.700,40.800,19.972,21.137
llmbridge,512,506647,8192,172,275,405,578,30.800,40.800,19.998,21.169
litellm,512,19980,333,10447745,10447745,10447745,10447745,11476.500,16456.900,0.001,0.001
direct,16,15847,256,52,105,194,235,30.900,40.500,20.001,21.032
llmbridge,16,15847,256,108,167,255,272,30.500,40.500,19.934,21.021
litellm,16,15074,245,1436,196875,274614,319890,74.400,380.000,19.994,36.685
direct,64,63387,1024,53,114,194,803,30.800,40.700,19.985,21.048
llmbridge,64,63376,1024,108,186,248,314,30.900,40.800,20.016,21.019
litellm,64,24745,408,193731,560656,718360,797201,2017.300,2188.800,0.001,218.870
direct,256,253529,4096,53,151,255,595,30.800,40.700,19.993,21.058
llmbridge,256,253334,4096,146,239,313,546,30.700,40.900,20.020,21.035
litellm,256,25500,420,10876635,10876635,10876635,10876635,11052.400,11631.100,0.001,163.319
direct,512,506957,8192,43,238,391,695,30.700,40.700,20.000,21.136
llmbridge,512,506511,8192,174,280,422,721,30.800,40.800,19.984,21.185
litellm,512,15360,256,11475802,11475802,11475802,11475802,12600.800,12605.600,0.001,7280.520
direct,16,15847,256,51,104,206,230,30.600,40.400,20.003,21.018
llmbridge,16,15845,256,112,164,249,276,30.900,40.700,20.011,21.023
litellm,16,14837,241,1406,195604,254770,262039,93.500,189.900,19.994,44.630
direct,64,63390,1024,53,108,187,245,30.800,40.500,19.983,21.047
llmbridge,64,63379,1024,108,186,248,314,30.700,40.700,20.027,21.022
litellm,64,25380,416,190641,666906,954889,1106451,2058.800,2389.700,0.001,262.874
direct,256,253514,4096,53,148,257,343,30.700,40.600,19.995,21.050
llmbridge,256,253367,4096,139,236,325,551,30.800,40.700,20.024,21.030
litellm,256,25988,409,477139,9570769,9570769,9570769,10255.700,10957.200,0.001,187.206
direct,512,506976,8192,43,227,365,691,30.800,40.700,19.965,21.138
llmbridge,512,506606,8192,179,286,425,701,30.800,40.800,20.002,21.161
litellm,512,25146,412,11827885,11827885,11827885,11827885,15400.600,19922.900,0.001,244.063
